target,values,color,source
41,1346377,a,0
43,80970,NA,1
44,571410,a,2
45,1352772,NA,3
46,1338303,a,4
42,71343,a,6
40,270310,a,9
40,16353,a,10
40,2557,a,11
40,550319,NA,12
44,646723,a,13
44,160706,a,14
41,26965,NA,15
41,5742,NA,16
44,137220,NA,17
44,62874,NA,19
45,162061,NA,20
45,3581,NA,22
45,191866,NA,23
45,1297,NA,25
45,242701,NA,26
45,578,NA,28
45,126318,NA,29
45,32628,NA,31
32,2176,NA,46
42,29996,NA,33
42,10458,NA,35
40,1040844,a,37
43,226116,a,38
0,1346377,a,40
1,80970,NA,42
2,571410,a,41
3,1352772,NA,44
4,1338303,a,45
5,297459,a,46
6,71343,a,5
7,20746,NA,43
9,270310,a,39
10,16353,a,39
11,2557,a,39
8,534006,NA,40
13,643047,a,41
14,164627,a,41
15,26965,NA,44
17,137220,NA,44
18,63772,NA,44
20,162061,NA,45
21,2697,NA,45
23,191866,NA,45
24,96,NA,45
26,242701,NA,45
27,3896,NA,45
29,157722,NA,45
30,16926,NA,45
46,2176,NA,32
33,10742,NA,42
34,831,NA,42
43,2880,NA,36
37,1040844,a,46
38,226116,a,5
39,289220,a,43
